states,imprecision
0,1.0
1,0.04879437180296876
2,0.04783839584518734
3,0.04688909167704114
4,0.045936933891058136
5,0.044986679468489325
6,0.044034521682506315
7,0.043083316054309255
8,0.042127340096527965
9,0.04117613446833091
10,0.04023062182482851
11,0.039278464038845495
12,0.03828940920351598
13,0.03734010503536967
14,0.03639080086722346
15,0.03543291008576998
16,0.03447597719509798
17,0.03352381940911497
18,0.03256975444727317
19,0.031623295344668234
20,0.03066731938688683
21,0.02971611375868987
22,0.028778138794864017
23,0.027821205904192015
24,0.026867140942350213
25,0.025915935314153257
26,0.02496282441727338
27,0.02401446955329523
28,0.02306706304418105
29,0.022112998082339352
30,0.021162743659770552
31,0.02021058587378755
32,0.01926033145121864
33,0.018310077028649837
34,0.017359822606081043
35,0.016413363503475997
36,0.015469740939747961
37,0.014519486517179157
38,0.013568280888982095
39,0.012618026466413305
40,0.011667772043844393
41,0.010717517621275595
42,0.009767263198706801
43,0.008818908334728646
44,0.0078677027065317
45,0.00691744828396279
46,0.0059709891813578535
47,0.0050207347587889455
48,0.004078055817624658
49,0.003127801395055864
50,0.002180394885941684
51,0.001237715944777396
52,0.0012367609247955214
53,0.0012358097191673685
54,0.0012348518283858971
55,0.001233891058175174
56,0.0012329389003891134
57,0.0012319829244313856
58,0.0012310317188032327
59,0.0012300814643806395
60,0.001229128353483766
61,0.001228171420593061
62,0.0012272211661704664
63,0.0012262699605423144
64,0.0012253206563741519
65,0.0012243684985882015
66,0.001223412522630363
67,0.0012224507906877236
68,0.0012214967257259128
69,0.0012205397928352064
70,0.001219589538412613
71,0.0012186364275157402
72,0.001217680451558012
73,0.0012167254315761378
74,0.0012157761274079752
75,0.0012148239696220258
76,0.0012138679936641865
77,0.0012129196388002144
78,0.0012119684331720613
79,0.0012110134131901875
80,0.0012100631587677049
81,0.001209114803903733
82,0.0012081721249624926
83,0.0012072266123189794
84,0.0012062754066908261
85,0.0012053336704286326
86,0.0012043891032977867
87,0.0012034445361668313
88,0.0012024999690359865
89,0.0012015459040741754
90,0.0012005965999060122
91,0.001199644442120062
92,0.0011986989294765493
93,0.0011977505746125776
94,0.0011967993689844252
95,0.0011958481633561609
96,0.0011948571274400526
97,0.0011939049696541029
98,0.0011929537640258392
99,0.0011919637191456498
100,0.0011909736742654606
101,0.0011899836293852715
102,0.001188993584505083
103,0.001188003539624782
104,0.0011870134947445927
105,0.0011860234498644042
106,0.0011850334049842148
107,0.0011840850501202422
108,0.00118313669525627
109,0.0011821949589939647
110,0.0011812437533658124
111,0.00118029444919765
112,0.001179305394362395
113,0.001178358935259749
114,0.001177409631091586
115,0.0011764641184480726
116,0.0011755157635841007
117,0.001174525718703912
118,0.0011735773638399394
119,0.0011726290089759677
120,0.0011716806541119949
121,0.001170733247602862
122,0.0011697858410937285
123,0.0011688346354655767
124,0.0011678738652548537
125,0.0011669274061522075
126,0.0011659781019840438
127,0.0011650325893405313
128,0.0011640842344765587
129,0.0011631263436950863
130,0.0011621779888311143
131,0.0011612210559405203
132,0.0011602641230498143
133,0.0011593195559189695
134,0.0011583549330004277
135,0.0011574046785778334
136,0.0011564477456871276
137,0.0011554908127965335
138,0.0011545310033559408
139,0.0011535711939154591
140,0.0011526142610247538
141,0.001151650602729148
142,0.0011506965377673373
143,0.0011497396048766313
144,0.0011487836289189037
145,0.0011478276529610645
146,0.001146868803330037
147,0.0011459137833481627
148,0.0011449578073904345
149,0.001144000874499729
150,0.0011430439416090232
151,0.001142087965651295
152,0.0011411377112287011
153,0.001140181735270973
154,0.0011392219258303806
155,0.0011382659498726524
156,0.0011373071002415138
157,0.0011363530352797022
158,0.0011354018296514388
159,0.0011344525254833868
160,0.001133501319855124
161,0.0011325501142269714
162,0.0011315960492651596
163,0.001130646745096997
164,0.001129694587310937
165,0.0011287395673291736
166,0.0011277864564323001
167,0.0011268304804744607
168,0.0011258821256104887
169,0.0011249280606486778
170,0.0011239768550205251
171,0.001123020879062686
172,0.0011220629882812143
173,0.0011211098773843409
174,0.0011201567664874679
175,0.0011192084116234955
176,0.001118255300726623
177,0.00111730218982975
178,0.0011163490789328763
179,0.001115396921146927
180,0.001114445715518664
181,0.001113494509890511
182,0.0011125461550265392
183,0.0011115968508583758
184,0.001110646596435783
185,0.0011096934855389093
186,0.0011087441813707466
187,0.0011077967748616133
188,0.00110684175487985
189,0.0011058934000158778
190,0.0011049431455932848
191,0.0011039985784624395
192,0.0011030502235984672
193,0.001102097112701594
194,0.0011011497061924615
195,0.0011001965952955885
196,0.0010992425303337772
197,0.0010982836807026388
198,0.0010973257899211668
199,0.001096379330818631
200,0.0010954328717159843
201,0.001094486412613338
202,0.0010935427900496955
203,0.001092589679152822
204,0.0010916337031949828
205,0.0010906834487723893
206,0.001089742654246439
207,0.001088766380259898
208,0.0010878180253959262
209,0.0010868696705319536
210,0.0010859213156679817
211,0.0010849710612453878
212,0.0010840160412635134
213,0.0010830676863995414
214,0.0010821126664177778
215,0.0010811643115538063
216,0.0010802225752915002
217,0.0010792789527278575
218,0.0010783334400843447
219,0.0010773926455583947
220,0.00107644807842755
221,0.0010754997235634667
222,0.0010745437476057382
223,0.0010735877716480104
224,0.0010726327516661362
225,0.0010716815460379836
226,0.0010707303404097201
227,0.0010697676457723795
228,0.0010688183416043273
229,0.0010678661838182668
230,0.0010669102078605382
231,0.0010659637487578923
232,0.0010650058579764203
233,0.0010640450877656973
234,0.001063102408824568
235,0.0010621540539605952
236,0.0010612037995380015
237,0.001060241104900661
238,0.0010593003103747112
239,0.0010583471994778384
240,0.0010573959938496853
241,0.0010564561401181784
242,0.001055515345592228
243,0.0010545650911696347
244,0.0010536052817291532
245,0.001052647390947681
246,0.0010516885413166532
247,0.0010507505663528427
248,0.0010498097718268926
249,0.0010488557068649709
250,0.0010479006868832075
251,0.0010469570643194541
252,0.0010459962941087313
253,0.001045056440377223
254,0.0010440975907461962
255,0.0010431577370147995
256,0.0010422055792287388
257,0.0010412562750605758
258,0.0010403079201966041
259,0.001039357665774121
260,0.0010384178120426133
261,0.0010374685078744506
262,0.0010365106170930896
263,0.0010355536842023834
264,0.0010345967513116785
